surname,district,past_local,present_local,past_national,present_national,raw_total
แก้วหลวง,เชียงราย,0,0,1,0,4
ตันบรรจง,พะเยา,0,0,1,0,4
ภัคเกษม,เชียงใหม่,0,0,1,0,4
พาลุสุข,ยโสธร,0,0,1,0,4
วงษ์สุนทร,นครสวรรค์,0,0,1,0,4
วงษ์ไกร,ยโสธร,0,0,1,0,4
คันฉ่อง,ตรัง,0,0,1,0,4
โสภณ,ระยอง,1,0,0,1,4
อดิเทพวรพันธุ์,นครศรีธรรมราช,0,0,1,0,4
ไกรสิทธิพงศ์,พิษณุโลก,1,0,1,0,4
ชำนาญศิลป์,อุดรธานี,0,0,1,0,4
นาคพงศ์,กรุงเทพมหานคร,0,0,1,0,4
เพชรพนมพร,อุดรธานี,0,0,1,1,4
สุนทรวัฒน์,กรุงเทพมหานคร,0,0,1,0,4
โอสถานุเคราะห์,กาฬสินธุ์,0,0,1,1,4
รัศมิทัต,สมุทรปราการ,1,0,1,0,4
โพธิสาโร,ศรีสะเกษ,0,0,1,0,4
เฮงสวัสดิ์,บุรีรัมย์,0,0,1,0,4
ชุณหะวัณ,นครราชสีมา,0,0,1,0,4
รัตนเพียร,นครราชสีมา,0,0,1,0,4
สุนทรเลขา,นครสวรรค์,0,0,1,1,4
ใจแคล้ว,ปทุมธานี,1,0,1,0,4
กุลเจริญ,สมุทรปราการ,0,0,1,1,4
นิมมานเหมินท์,กรุงเทพมหานคร,0,0,1,0,4
ใสกระจ่าง,ศรีสะเกษ,0,0,1,0,4
รัชกิจประการ,สตูล,0,0,1,1,4
ช่างพินิจ,พิษณุโลก,0,0,1,1,4
นิกรเทศ,หนองคาย,0,0,1,0,4
ทองสวัสดิ์,ลำปาง,0,0,1,0,4
มาฉิม,พิษณุโลก,0,0,1,0,4
เตชะตานนท์,ขอนแก่น,0,0,1,0,4
สุนทรชัย,หนองคาย,0,0,1,0,4
ดำรงรัตน์,กรุงเทพมหานคร,0,0,1,0,4
นาครทรรพ,กรุงเทพมหานคร,0,0,1,1,4
ภูมิเหล่าแจ้ง,กาฬสินธุ์,0,0,1,0,4
สัจจกุล,กรุงเทพมหานคร,0,0,1,0,4
หวังศุภกิจโกศล,นครราชสีมา,0,1,1,1,4
สุดลาภา,ลพบุรี,0,0,1,0,4
ฤกษ์จรัล,กรุงเทพมหานคร,0,0,1,0,4
แกล้วกล้าหาญ,ขอนแก่น,0,0,1,0,4
โอสถานุเคราะห์,กรุงเทพมหานคร,0,0,1,0,4
สุไลมาน,สุรินทร์,0,0,1,1,4
มนิสสาร,อุดรธานี,0,0,1,0,4
สุทธศรี,กาฬสินธุ์,0,0,1,0,4
หมีเทศ,สุโขทัย,1,0,1,0,4
นามบุตร,อำนาจเจริญ,0,0,1,0,4
รามสูต,น่าน,0,0,1,1,4
หงษ์ทอง,พระนครศรีอยุธยา,0,0,1,0,4
ราชสีห์,สงขลา,0,0,1,0,4
บริพัตร,กรุงเทพมหานคร,0,0,1,0,4
เมนะสวัสดิ์,อุดรธานี,1,0,1,1,4
อินฉัตร,ศรีสะเกษ,0,0,1,0,4
เจริญศิริ,มหาสารคาม,0,0,1,0,4
วิษณุวงศ์,กาญจนบุรี,0,0,1,1,4
พงศ์ถาวราเดช,ประจวบคีรีขันธ์,0,0,1,1,4
บุญชัยสุข,นครราชสีมา,0,0,1,0,4
วิสิษฐยุทธศาสตร์,อ่างทอง,0,0,1,0,4
อุทัยเวียนกุล,ตรัง,0,0,1,0,4
วีรวรรณ,ขอนแก่น,0,0,1,0,4
อุฬารกุล,สกลนคร,0,0,1,0,4
ชมภูแดง,ร้อยเอ็ด,0,0,1,0,4
ปานแย้ม,ปทุมธานี,0,0,1,0,4
อุไรรัตน์,กรุงเทพมหานคร,0,0,1,0,4
ติณรัตน์,มหาสารคาม,0,0,1,1,4
ธนิกุล,สมุทรสงคราม,0,0,1,0,4
กาญจนรัตน์,พิษณุโลก,0,0,1,0,4
ศรีนนท์,นนทบุรี,0,0,1,0,4
สถิรชวาล,เพชรบุรี,0,0,1,1,4
ศรีปัญญา,ขอนแก่น,0,0,1,0,4
ทรัพย์รวงทอง,ชัยนาท,0,0,1,0,4
ศุภศิริ,แพร่,1,0,0,0,4
เจริญชัยฤทธิ์,นครสวรรค์,1,0,1,0,4
ทีปสุวรรณ,กรุงเทพมหานคร,0,0,1,1,4
ฉันทวานิช,กรุงเทพมหานคร,0,0,1,0,4
ประชามอญ,เชียงราย,0,0,1,0,4
ศรีสังข์,มหาสารคาม,0,0,1,0,4
เกียรติวินัยสกุล,ลพบุรี,0,0,1,0,4
ฉัตรชัยพลรัตน์,ขอนแก่น,1,0,1,0,4
บุญเฉลียว,ศรีสะเกษ,0,0,1,0,4
บุญเชียง,พะเยา,0,0,1,0,4
เกี่ยวข้อง,กระบี่,0,0,1,1,4
เมืองสุข,ปราจีนบุรี,0,0,1,0,4
จรัสเสถียร,มหาสารคาม,0,0,1,1,4
พัฒน์ดำรงจิตร,ขอนแก่น,0,0,1,0,4
พรมพันห่าว,หนองคาย,0,0,1,0,4
ชวาลสันตติ,เพชรบูรณ์,0,0,1,0,4
พรหมภักดี,สกลนคร,0,0,1,0,4
ทองธิราช,สกลนคร,0,0,1,0,4
สังข์พุ่ม,สุรินทร์,0,0,1,1,4
บัวบุตร,อำนาจเจริญ,0,0,1,1,4
ธารณา,กรุงเทพมหานคร,0,0,1,0,4
คำสิงห์นอก,นครราชสีมา,0,0,1,0,4
เจียมวิจักษณ์,เชียงราย,0,0,1,0,4
ธาราภูมิ,ลพบุรี,0,0,1,0,4
วิจารณ์ปรีชา,สิงห์บุรี,1,0,1,0,4
วิริยะชัย,นนทบุรี,0,0,1,0,4
บัวสุวรรณ,เพชรบูรณ์,0,0,1,0,4
ตั้งวานิชกพงษ์,ขอนแก่น,1,1,0,0,4
เชาวน์ประยูร,เชียงใหม่,1,0,1,0,4
ศรีอ่อน,จันทบุรี,0,0,1,1,3
ศรีแสงนาม,กรุงเทพมหานคร,0,0,1,0,3
ศิริโกมุท,มหาสารคาม,0,0,1,0,3
ราชป้องขันธ์,บึงกาฬ,0,0,1,1,3
จึงเลิศศิริ,กรุงเทพมหานคร,0,0,1,0,3
ศรีเมือง,กรุงเทพมหานคร,0,0,1,0,3
ศุภมงคล,กรุงเทพมหานคร,0,0,1,0,3
จันทรเจริญ,มหาสารคาม,0,0,1,0,3
วาจาดี,อุบลราชธานี,0,0,0,1,3
รังคสิริ,แพร่,0,0,1,0,3
ไทยประสิทธิ์,กำแพงเพชร,0,0,1,0,3
ศิริขันธ์,อำนาจเจริญ,0,0,1,0,3
สุพรรณฝ่าย,ขอนแก่น,0,0,1,0,3
สุธากุล,สตูล,0,0,1,0,3
เบ้าจรรยา,ขอนแก่น,0,0,1,0,3
ศรีสวาสดิ์,ร้อยเอ็ด,0,0,1,0,3
เต็มเจริญ,กรุงเทพมหานคร,0,0,1,0,3
รัศมีฤกษ์เศรษฐ์,กาญจนบุรี,1,0,1,1,3
วรเชษฐ์,ร้อยเอ็ด,0,0,1,0,3
ชุมดวง,สุโขทัย,0,0,1,0,3
เนื่องจำนงค์,ชลบุรี,0,0,1,1,3
จ่าแก้ว,สุราษฎร์ธานี,1,1,0,0,3
ศรีสุริยันโยธิน,บุรีรัมย์,0,0,1,0,3
ศรีบุศกร,พิจิตร,1,0,0,1,3
วัฒนพงศ์ศิริ,บุรีรัมย์,0,0,1,0,3
กุลศักดิ์วิมล,นครพนม,0,0,1,0,3
สุนทรสีมะ,กรุงเทพมหานคร,0,0,1,0,3
วัฒนาประสิทธิ์,ราชบุรี,0,0,1,0,3
สังข์โต,นนทบุรี,0,0,1,0,3
เบญอิบรอฮีม,ปัตตานี,0,0,1,0,3
รัตตกุล,กรุงเทพมหานคร,0,0,1,0,3
สิริยะเสถียร,นครปฐม,0,0,1,0,3
กาสมสัน,ตาก,0,0,1,0,3
รุ่งวิจิตรชัย,สระบุรี,0,0,1,1,3
สรสุชาติ,กรุงเทพมหานคร,0,0,1,0,3
สมมี,ลำปาง,1,0,0,0,3
วิภัติภูมิประเทศ,ชลบุรี,0,0,1,0,3
สุขวัฒน์,สมุทรปราการ,0,0,1,0,3
ธรรมสาร,ปทุมธานี,0,0,1,1,3
สืบสายพรหม,ศรีสะเกษ,0,0,1,0,3
สมะลาภา,กรุงเทพมหานคร,0,0,1,0,3
สมใจ,ปราจีนบุรี,0,0,1,0,3
เทพวงศ์ศิริรัตน์,สุรินทร์,1,0,1,0,3
กาญจนชูศักดิ์,กรุงเทพมหานคร,0,0,1,0,3
แถวโสภา,นครราชสีมา,0,0,1,0,3
สหชัยรุ่งเรือง,ชลบุรี,0,0,1,0,3
นันทปัญญา,สระบุรี,1,0,0,0,3
นวลเปียน,พัทลุง,0,0,1,0,3
วิวรรธนดิฐกุล,แพร่,0,0,1,1,3
สิมะโรจน์,กรุงเทพมหานคร,0,0,1,0,3
เทียมสุวรรณ,อุบลราชธานี,0,0,1,0,3
ลีธีระประเสริฐ,ศรีสะเกษ,0,0,1,0,3
ลิ้มสกุลศิริรัตน์,สมุทรปราการ,0,0,1,0,3
วุฒินันชัย,เชียงใหม่,0,0,1,1,3
ไชยรบ,สกลนคร,1,1,0,0,3
จุดโต,บุรีรัมย์,0,0,1,0,3
รุ่งโรจน์,ชลบุรี,0,0,1,0,3
จันทร์สมบูรณ์,กาญจนบุรี,0,0,1,0,3
กุลนาถศิริ,สุโขทัย,1,0,1,1,3
ฤทธาคนี,ปทุมธานี,0,0,1,0,3
แสงประทุม,นครศรีธรรมราช,0,0,1,0,3
แสงประทุม,กรุงเทพมหานคร,0,0,1,0,3
แสนวิเศษ,มุกดาหาร,0,0,1,0,3
สินสุวงศ์,กรุงเทพมหานคร,0,0,1,0,3
จิรกิติ,กรุงเทพมหานคร,0,0,1,0,3
นาคะบุตร,เพชรบูรณ์,0,0,1,0,3
เป้าเปี่ยมทรัพย์,ฉะเชิงเทรา,1,1,0,1,3
ลายน้ำเงิน,ลพบุรี,0,0,1,0,3
ไกรเดชา,พระนครศรีอยุธยา,0,0,0,1,3
สันติเมทนีดล,ขอนแก่น,0,0,1,0,3
ชมกลิ่น,ชลบุรี,0,0,1,1,3
มโนหรทัต,กรุงเทพมหานคร,0,0,1,0,3
เอกอุรุ,สงขลา,0,0,1,0,3
ทิมาตฤกะ,บุรีรัมย์,0,0,1,1,3
พุทธปวน,ลำพูน,0,0,1,0,3
ปั้นเกตุ,สิงห์บุรี,0,0,1,0,3
ปัทมะ,นครราชสีมา,0,0,1,1,3
อูมา,นราธิวาส,0,0,1,0,3
โตมรศักดิ์,นครราชสีมา,0,0,1,1,3
โลหะโชติ,น่าน,0,0,1,0,3
พลไวย์,พิษณุโลก,0,0,1,0,3
แสนภูมิ,สุรินทร์,0,0,1,0,3
อามระดิษ,สุรินทร์,0,0,1,0,3
อารีรอบ,ภูเก็ต,0,1,1,0,3
เชื้อคง,อุบลราชธานี,0,0,1,1,3
เดชกิจวิกรม,พิษณุโลก,0,0,1,0,3
หิรัญบูรณะ,สระแก้ว,0,0,1,0,3
โลหะวณิชย์,ชัยภูมิ,0,0,1,1,3
หิรัญบูรณะ,ปราจีนบุรี,0,0,1,0,3
จำนง,สงขลา,0,0,1,1,3
ภูจริต,กาฬสินธุ์,0,0,1,0,3
จรูญเนตร,อุบลราชธานี,0,0,1,0,3
เดชเดโช,นครศรีธรรมราช,0,1,0,1,3
ภูยุทธานนท์,ปัตตานี,0,0,1,0,3
ปางวิรุฬห์รักษ์,ชุมพร,0,0,1,0,3
ตันสุหัช,เชียงใหม่,0,0,1,0,3
เจริญพันธ์,สุรินทร์,1,0,1,0,3
เชาว์ศิริกุล,มุกดาหาร,0,0,1,0,3
ปิยนามวาณิช,พังงา,1,0,0,0,3
คุนผลิน,กรุงเทพมหานคร,0,0,1,0,3
พันธุ์ศรีนคร,นครราชสีมา,1,0,1,0,3
พัฒนกุลเลิศ,นราธิวาส,0,0,1,0,3
อัตถาวงศ์,นครราชสีมา,0,0,1,0,3
อัตถากร,กรุงเทพมหานคร,0,0,1,0,3
ผลอำนวย,กำแพงเพชร,0,0,1,1,3
ตันติวณิชชานนท์,อุบลราชธานี,0,0,1,0,3
เวชกามา,สกลนคร,0,0,1,1,3
ควรหา,สุรินทร์,0,0,1,0,3
ตั้งเบญจผล,สุโขทัย,0,0,1,0,3
ผาลีพัฒน์,อุบลราชธานี,0,0,1,1,3
ตันประเสริฐ,นครสวรรค์,0,0,1,0,3
ตรีสุขี,พระนครศรีอยุธยา,0,0,1,0,3
พิพิธภักดี,ปัตตานี,0,0,1,0,3
พิมพ์พิสิฐถาวร,กาญจนบุรี,0,0,1,0,3
ตันศิริ,กรุงเทพมหานคร,0,0,1,0,3
พิมานเมฆินทร์,อุดรธานี,0,0,1,0,3
พิริยะกิจไพบูลย์,อุบลราชธานี,0,0,1,0,3
พิลาสมบัติ,นครราชสีมา,0,0,1,0,3
โหสกุล,กรุงเทพมหานคร,0,0,1,1,3
เจริญช่าง,กรุงเทพมหานคร,0,0,1,0,3
ภู่จีนาพันธุ์,เชียงใหม่,0,0,1,0,3
มงคลกิตติ,กรุงเทพมหานคร,0,0,1,0,3
อินทร์สุข,พิจิตร,0,0,0,1,3
อิศรภักดี,กรุงเทพมหานคร,0,0,1,1,3
บูลย์ประมุข,ตาก,1,0,0,1,3
บุษราคัม,อุดรธานี,0,0,1,0,3
ณ กาฬสินธุ์,กาฬสินธุ์,0,0,1,0,3
โภคสวัสดิ์,มุกดาหาร,0,0,1,0,3
พงศ์เรืองรอง,กรุงเทพมหานคร,0,0,1,0,3
เหลืองทองนารา,พิษณุโลก,0,0,1,1,3
ม่าเหร็ม,สตูล,0,0,1,0,3
ยนต์ตระกูล,มหาสารคาม,0,0,1,0,3
ยนต์ตระกูล,ร้อยเอ็ด,1,0,1,0,3
ทองสมบูรณ์,มหาสารคาม,0,0,1,0,3
เก็บทรัพย์,ภูเก็ต,0,0,1,0,3
เจตนจันทร์,ระยอง,0,0,1,1,3
ยศสุข,เชียงใหม่,0,0,1,0,3
อึ้งอภินันท์,เชียงราย,0,0,1,0,3
สุรพล,ขอนแก่น,0,0,1,0,3
เพียยุระ,ขอนแก่น,0,0,1,0,3
คุณะเกษม,กรุงเทพมหานคร,0,0,1,0,3
ประจวบเหมาะ,กรุงเทพมหานคร,0,0,1,0,3
ณ วังขนาย,นครราชสีมา,0,0,1,1,3
เลียงประสิทธิ์,สตูล,1,1,0,1,3
พรหมเผ่า,พะเยา,0,1,0,1,3
เรืองกาญจนเศรษฐ์,อุบลราชธานี,0,0,1,0,3
คูสกุล,นครพนม,0,0,1,0,3
มงคลวิรกุล,กาฬสินธุ์,0,0,1,0,3
มงคลศิริ,อุทัยธานี,0,0,1,0,3
โอบอ้อม,นครสวรรค์,0,0,1,0,3
ดิศกุล,กรุงเทพมหานคร,0,0,1,0,3
เดชเสน,ยโสธร,0,0,1,0,3
เชาวรัตน์,มหาสารคาม,1,0,1,0,3
เกษมทองศรี,ราชบุรี,0,0,1,0,3
เด็งระกีนา,ยะลา,0,0,1,0,3
ถนอมพงษ์พันธุ์,กรุงเทพมหานคร,0,0,1,0,3
มะลิผล,ฉะเชิงเทรา,1,0,1,0,3
ประทีป ณ ถลาง,ภูเก็ต,1,0,0,1,3
พร้อมพันธุ์,กรุงเทพมหานคร,0,0,1,0,3
อุดรพิมพ์,มหาสารคาม,1,1,0,0,3
โง่นคำ,กาฬสินธุ์,0,0,1,0,3
เล็กอุดากร,บุรีรัมย์,1,1,0,0,3
สว่างกุล,แม่ฮ่องสอน,0,0,1,0,2
อุชชิน,พิษณุโลก,0,0,1,0,2
เจริญศรี,นครพนม,0,0,1,1,2
สมหมาย,ศรีสะเกษ,0,0,1,0,2
เจริญดี,หนองคาย,0,0,1,0,2
อุสิทธิ์,ชุมพร,1,1,0,0,2
เจนกิจณรงค์,นครปฐม,0,0,1,0,2
เงินยวง,กรุงเทพมหานคร,0,0,1,0,2
ศิรินวกุล,กาฬสินธุ์,0,0,1,0,2
เบ็ญจลักษณ์,ปัตตานี,0,0,1,1,2
เย็นประเสริฐ,นนทบุรี,1,1,0,0,2
เริงประเสริฐวิทย์,อุทัยธานี,0,0,1,0,2
แสงสุริยจันทร์,กรุงเทพมหานคร,0,0,1,0,2
เจตาภิวัฒน์,นราธิวาส,0,0,1,0,2
เกียรติชูศักดิ์,นครสวรรค์,0,0,1,1,2
ไพรวัลย์,แม่ฮ่องสอน,0,0,1,0,2
แสงศิริ,นครสวรรค์,0,0,1,0,2
ศิริเนาวกุล,ราชบุรี,0,0,1,0,2
ไทยมงคล,อุบลราชธานี,0,0,1,0,2
แสงทอง,ศรีสะเกษ,0,0,1,0,2
แสงวิจิตร,เพชรบูรณ์,0,0,1,0,2
เนตรโพธิ์แก้ว,นครปฐม,0,0,1,0,2
เกตุวัตถา,ชลบุรี,0,0,1,0,2
เกตะวันดี,เลย,0,0,1,0,2
เร่งไพบูลย์วงษ์,ชัยภูมิ,1,0,1,0,2
เบ็ญจศิริวรรณ,กรุงเทพมหานคร,0,0,1,0,2
อุ๋ยตระกูล,เพชรบุรี,0,0,0,1,2
สมณะ,กรุงเทพมหานคร,0,0,1,0,2
เจริญนนทสิทธิ์,นนทบุรี,0,0,1,1,2
อุเซ็ง,ยะลา,0,0,1,0,2
สมบูรณ์เทอดธนา,สุรินทร์,0,0,1,0,2
อึ๊งภากรณ์,กรุงเทพมหานคร,0,0,1,0,2
อัถโถปกรณ์,ตรัง,0,0,1,0,2
ไตรวุฒิ,ตราด,0,0,1,0,2
โพธารากุล,กาญจนบุรี,0,0,1,0,2
โหตระไวศยะ,อุบลราชธานี,0,0,1,0,2
สุจิตต์,สุพรรณบุรี,0,0,1,1,2
เสียมภักดี,เชียงใหม่,0,0,1,0,2
โกฎคำลือ,เชียงใหม่,0,0,1,1,2
แก้วก่า,สกลนคร,0,0,1,0,2
สุทธิวารี,ตราด,1,0,1,0,2
หมู่ดี,ปทุมธานี,0,0,1,0,2
สุทินเผือก,สมุทรปราการ,0,0,1,1,2
เสือสมิง,สมุทรสงคราม,1,1,0,0,2
สุ่นศิริ,กรุงเทพมหานคร,0,0,1,0,2
เด่นนภาลัย,สมุทรปราการ,0,0,1,0,2
เหลืองขจรวิทย์,ลพบุรี,0,0,1,1,2
สุวรรณเพ็ญ,ตาก,0,0,1,0,2
สุวรรณภักดี,กรุงเทพมหานคร,0,0,1,0,2
สุวรรณพรหม,หนองบัวลำภู,0,0,1,0,2
สุวรรณบุตร,สมุทรปราการ,0,0,0,1,2
เฮงยศมาก,บุรีรัมย์,0,0,1,0,2
โพธิ์งาม,กาญจนบุรี,0,0,1,0,2
โอสถานุเคราะห์,ขอนแก่น,0,0,1,0,2
ใจดี,ศรีสะเกษ,0,0,1,0,2
โกวิทศิริกุล,หนองคาย,0,0,1,0,2
โกษะโยธิน,กรุงเทพมหานคร,0,0,1,0,2
สุริยาทิพย์,ชลบุรี,0,0,1,0,2
โพธิ์คำ,นครราชสีมา,0,0,1,0,2
เพชรทอง,กรุงเทพมหานคร,0,0,1,0,2
สุภธีระ,ขอนแก่น,0,0,1,0,2
สุภาศรี,เชียงใหม่,0,0,1,0,2
เปี่ยมคล้า,นครปฐม,0,0,1,0,2
สุขสวัสดิ์,อุตรดิตถ์,0,0,1,0,2
โสมกลาง,นครราชสีมา,0,0,1,0,2
สำเร็จวาณิชย์,กรุงเทพมหานคร,0,0,1,1,2
อิสระเสรีพงษ์,กรุงเทพมหานคร,0,0,1,0,2
แจ่มใส,นครสวรรค์,0,0,1,0,2
เจ๊ะโมง,ปัตตานี,0,0,1,0,2
อำนาคะ,สระบุรี,0,0,0,1,2
สัพโส,สกลนคร,0,0,1,1,2
สายเทพ,ลำปาง,0,0,1,0,2
สารอเอง,ปัตตานี,1,0,0,0,2
เทียนถาวร,สิงห์บุรี,1,1,0,0,2
อัศวชัยโสภณ,ฉะเชิงเทรา,0,0,1,0,2
สาราคำ,อุดรธานี,0,0,0,1,2
อัลยุฟรี,ปัตตานี,1,1,0,0,2
โฆษิตจิรนันท์,ร้อยเอ็ด,0,0,1,0,2
สิทธิวัง,ลำปาง,0,0,0,1,2
สุขศรีเมือง,นครศรีธรรมราช,0,0,0,1,2
เศวตเศรนี,น่าน,0,0,1,0,2
อักษรเสือ,ขอนแก่น,0,0,1,0,2
อรรถปรียางกูร,เชียงใหม่,0,0,1,0,2
เสงี่ยมกุล,ภูเก็ต,0,0,1,0,2
อยู่ประเสริฐ,อุดรธานี,1,0,1,0,2
อนุวัฒน์,ชลบุรี,0,0,1,1,2
อนันตกูล,ชลบุรี,0,0,1,0,2
สุขถิ่นไทย,กรุงเทพมหานคร,0,0,1,0,2
เซ่งไพเราะ,กรุงเทพมหานคร,0,0,1,0,2
สุขรัตน์,สกลนคร,0,0,1,0,2
โสภิตชา,อุบลราชธานี,0,0,1,0,2
ห่วงทรัพย์,กรุงเทพมหานคร,0,0,1,1,2
หุตังคบดี,กรุงเทพมหานคร,0,0,1,0,2
ฤทธิ์ฤๅชัย,สกลนคร,0,0,1,0,2
จินดาพล,ภูเก็ต,0,0,1,0,2
ฉัตรพัฒนศิริ,นครราชสีมา,0,0,1,0,2
ประทุมลี,มุกดาหาร,0,0,1,1,2
รัตนวิจารณ์,สกลนคร,0,0,1,0,2
ชนะวัฒน์ปัญญา,จันทบุรี,0,0,1,0,2
รอดโพธิ์ทอง,กรุงเทพมหานคร,0,0,1,0,2
ชนะสิทธิ์,จันทบุรี,0,0,0,0,2
ชมภูเทพ,ลำพูน,0,0,1,0,2
ยุติธรรม,นครศรีธรรมราช,0,0,0,1,2
ชวนบุญ,สมุทรสาคร,0,0,1,0,2
ยั่งยืน,สมุทรปราการ,0,0,1,0,2
ยะสินธุ์,แม่ฮ่องสอน,0,0,1,0,2
ยมจินดา,ระยอง,0,0,1,0,2
ปรีชาชนะชัย,สุรินทร์,0,0,1,1,2
ยมจินดา,กรุงเทพมหานคร,0,0,1,0,2
มุตตามระ,เชียงราย,0,0,1,0,2
ชวลิตนิติธรรม,ชลบุรี,0,0,1,0,2
ชัยกิจเด่นนภาลัย,สมุทรปราการ,0,0,1,0,2
ทรัพย์เจริญ,ตราด,1,1,0,0,2
ฉัตรมาลีรัตน์,ระนอง,1,0,0,1,2
ฉัตรจินดารัตน์,นครสวรรค์,0,0,1,0,2
จันทร์อารักษ์,ยโสธร,0,0,1,0,2
ประดิษฐพร,สุราษฎร์ธานี,0,0,0,1,2
วงศ์ไชย,เชียงใหม่,0,0,1,0,2
วงศ์อารยะ,กรุงเทพมหานคร,0,0,1,0,2
วงศ์ปลั่ง,ศรีสะเกษ,0,0,1,0,2
วงศ์กวี,ลพบุรี,0,0,1,0,2
ฦาชา,ชัยภูมิ,0,0,1,0,2
ล้ำสุทธิ,ระยอง,0,0,1,0,2
ลิ้มอรุณรักษ์,ประจวบคีรีขันธ์,1,1,0,0,2
บุตรดีวงค์,มุกดาหาร,0,0,1,0,2
ลิ่วเฉลิมวงศ์,กรุงเทพมหานคร,0,0,1,0,2
จิตสุทธิภากร,นครสวรรค์,0,0,1,0,2
ตั้งปณิธานนท์,มุกดาหาร,0,0,1,1,2
บุรณศิริ,พะเยา,1,0,1,0,2
รุ่งแสง,กรุงเทพมหานคร,0,0,1,0,2
บูรพชัยศรี,กรุงเทพมหานคร,0,0,1,0,2
รุ่งเป้า,นครราชสีมา,0,0,1,0,2
จีนะวิจารณะ,กรุงเทพมหานคร,0,0,1,0,2
ประดับศรี,ยโสธร,0,0,1,0,2
ปัญญาสกุลวงศ์,กรุงเทพมหานคร,0,0,1,0,2
ชัยสดมภ์,สมุทรปราการ,0,0,1,0,2
มั่นหมาย,สุรินทร์,0,0,1,0,2
มังคลรังษี,ราชบุรี,0,0,1,0,2
ซื่อทรงธรรม,แพร่,1,0,0,1,2
ภมรมนตรี,กรุงเทพมหานคร,0,0,1,0,2
ฐาปนะกุล,นครราชสีมา,0,0,1,0,2
พุทธปวน,เชียงใหม่,0,0,1,0,2
พุกประเสริฐ,สุโขทัย,0,1,1,0,2
พรพิพัฒน์พงศ์,กรุงเทพมหานคร,0,0,1,0,2
ติธรรม,บึงกาฬ,0,0,1,1,2
พิบูลย์วัฒนวงษ์,หนองบัวลำภู,0,0,1,0,2
ดีบุญมี ณ ชุมแพ,ขอนแก่น,0,0,1,0,2
พากเพียรศิลป์,ปราจีนบุรี,0,0,1,0,2
ดูดิง,ยะลา,0,0,1,0,2
พันธ์สายเชื้อ,ยโสธร,0,0,1,1,2
พันธุ์ศิลา,ร้อยเอ็ด,0,0,1,0,2
พรหมา,อุดรธานี,0,0,1,0,2
ตั้งเจริญถาวร,นนทบุรี,0,0,1,1,2
พลโคตร,มหาสารคาม,0,0,1,0,2
พลเสน,อุทัยธานี,0,0,1,0,2
ถาวงศ์,น่าน,1,1,0,0,2
ผ่องแผ้ว,สงขลา,0,0,1,0,2
ภิญญสาสน์,จันทบุรี,0,0,1,0,2
มะยูโซ๊ะ,นราธิวาส,0,0,0,1,2
ชัยโกศล,พระนครศรีอยุธยา,0,0,1,0,2
ชาติวัฒนศิริ,บุรีรัมย์,0,0,1,0,2
ปัทมะ,กรุงเทพมหานคร,0,0,1,0,2
ชาลีรินทร์,ชัยภูมิ,0,0,1,1,2
มะหะมัดยังกี,สตูล,0,0,1,0,2
มะลูลีม,กรุงเทพมหานคร,0,0,1,0,2
ปานลักษณ์,ลำพูน,0,0,1,0,2
มหาสุวีระชัย,ศรีสะเกษ,0,0,1,0,2
ภิญโญ,นครราชสีมา,0,0,1,1,2
ปานอุดมลักษณ์,นครสวรรค์,0,0,1,0,2
