ID,จังหวัด
1,เชียงราย
2,เชียงใหม่
3,ลำปาง
4,พะเยา
5,แม่ฮ่องสอน
6,ลำพูน
7,อุตรดิตถ์
8,น่าน
9,แพร่
10,สุโขทัย
11,พิษณุโลก
12,เพชรบูรณ์
13,หนองคาย
14,บึงกาฬ
15,นครพนม
16,ตาก
17,กำแพงเพชร
18,พิจิตร
19,เลย
20,หนองบัวลำภู
21,อุดรธานี
22,สกลนคร
23,มุกดาหาร
24,อุทัยธานี
25,ชัยนาท
26,นครสวรรค์
27,ชัยภูมิ
28,ขอนแก่น
29,กาฬสินธุ์
30,ยโสธร
31,กาญจนบุรี
32,อ่างทอง
33,สิงห์บุรี
34,ลพบุรี
35,นครราชสีมา
36,มหาสารคาม
37,ร้อยเอ็ด
38,อำนาจเจริญ
39,สุพรรณบุรี
40,พระนครศรีอยุธยา
41,ปทุมธานี
42,สระบุรี
43,บุรีรัมย์
44,สุรินทร์
45,ศรีสะเกษ
46,อุบลราชธานี
47,ราชบุรี
48,นนทบุรี
49,กรุงเทพมหานคร
50,นครนายก
51,ปราจีนบุรี
52,นครปฐม
53,สมุทรสาคร
54,สมุทรปราการ
55,ฉะเชิงเทรา
56,สระแก้ว
57,เพชรบุรี
58,สมุทรสงคราม
59,ชลบุรี
60,ระยอง
61,จันทบุรี
62,ประจวบคีรีขันธ์
63,ตราด
64,ชุมพร
65,ระนอง
66,สุราษฎร์ธานี
67,พังงา
68,นครศรีธรรมราช
69,ภูเก็ต
70,กระบี่
71,ตรัง
72,พัทลุง
73,สตูล
74,สงขลา
75,ปัตตานี
76,ยะลา
77,นราธิวาส