surname,name,position,district,party
ขาวขำ,วิเชียร,1_นายก/รองนายก_อดีต,อุดรธานี,พรรคเพื่อไทย
ขาวขำ,สุชัมบดี,2_สอบจ_อดีต,อุดรธานี,ไม่สังกัดพรรค
ขาวขำ,วิเชียร,3_สส_อดีต,อุดรธานี,พรรคชาติไทย
ขาวขำ,วิเชียร,3_สส_อดีต,อุดรธานี,พรรคชาติพัฒนา
ขาวขำ,วิเชียร,3_สส_อดีต,อุดรธานี,พรรคกิจสังคม
ขาวขำ,วิเชียร,3_สส_อดีต,อุดรธานี,พรรคพลังประชาชน
ขาวขำ,เทียบจุฑา,3_สส_อดีต,อุดรธานี,พรรคเพื่อไทย
ขาวขำ,วิเชียร,3_สส_อดีต,อุดรธานี,พรรคเพื่อไทย
ขาวขำ,วิเชียร,5_นายก_ปัจจุบัน,อุดรธานี,พรรคเพื่อไทย
ขาวขำ,ดนัย,6_สอบจ_ปัจจุบัน,อุดรธานี,ไม่สังกัดพรรค
ขาวขำ,เทียบจุฑา,7_สส_ปัจจุบัน,อุดรธานี,พรรคเพื่อไทย
คุณปลื้ม,วิทยา,1_นายก/รองนายก_อดีต,ชลบุรี,พรรคพลังประชารัฐ
คุณปลื้ม,สนธยา,3_สส_อดีต,ชลบุรี,พรรคสามัคคีธรรม
คุณปลื้ม,วิทยา,3_สส_อดีต,ชลบุรี,พรรคชาติพัฒนา
คุณปลื้ม,สนธยา,3_สส_อดีต,ชลบุรี,พรรคชาติพัฒนา
คุณปลื้ม,วิทยา,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,สนธยา,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,วิทยา,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,สนธยา,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,วิทยา,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,อิทธิพล,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,วิทยา,3_สส_อดีต,ชลบุรี,พรรคไทยรักไทย
คุณปลื้ม,อิทธิพล,3_สส_อดีต,ชลบุรี,พรรคไทยรักไทย
คุณปลื้ม,สุกุมล,3_สส_อดีต,ชลบุรี,พรรคพลังชล
คุณปลื้ม,สนธยา,3_สส_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,สนธยา,4_ครม_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,สนธยา,4_ครม_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,สนธยา,4_ครม_อดีต,ชลบุรี,พรรคชาติไทย
คุณปลื้ม,สนธยา,4_ครม_อดีต,ชลบุรี,ไม่สังกัดพรรค
คุณปลื้ม,สุกุมล,4_ครม_อดีต,ชลบุรี,ไม่สังกัดพรรค
คุณปลื้ม,สนธยา,4_ครม_อดีต,ชลบุรี,ไม่สังกัดพรรค
คุณปลื้ม,วิทยา,5_นายก_ปัจจุบัน,ชลบุรี,พรรคพลังประชารัฐ
คุณปลื้ม,อิทธิพล,8_ครม_ปัจจุบัน,ชลบุรี,พรรคพลังประชารัฐ
ชิดชอบ,กรุณา,1_นายก/รองนายก_อดีต,บุรีรัมย์,พรรคภูมิใจไทย
ชิดชอบ,เนวิน,3_สส_อดีต,บุรีรัมย์,พรรคสามัคคีธรรม
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,เนวิน,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,เนวิน,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,เนวิน,3_สส_อดีต,บุรีรัมย์,พรรคเอกภาพ
ชิดชอบ,กรุณา,3_สส_อดีต,บุรีรัมย์,พรรคเอกภาพ
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคเอกภาพ
ชิดชอบ,กรุณา,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,ศักดิ์สยาม,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,กรุณา,3_สส_อดีต,บุรีรัมย์,พรรคไทยรักไทย
ชิดชอบ,ศักดิ์สยาม,3_สส_อดีต,บุรีรัมย์,พรรคไทยรักไทย
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคภูมิใจไทย
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคพลังประชาชน
ชิดชอบ,ชัย,3_สส_อดีต,บุรีรัมย์,พรรคภูมิใจไทย
ชิดชอบ,เนวิน,4_ครม_อดีต,บุรีรัมย์,พรรคชาติไทย
ชิดชอบ,เนวิน,4_ครม_อดีต,บุรีรัมย์,พรรคเอกภาพ
ชิดชอบ,เนวิน,4_ครม_อดีต,บุรีรัมย์,ไม่สังกัดพรรค
ชิดชอบ,เนวิน,4_ครม_อดีต,บุรีรัมย์,พรรคไทยรักไทย
ชิดชอบ,ชัย,7_สส_ปัจจุบัน,บุรีรัมย์,พรรคภูมิใจไทย
ชิดชอบ,ศักดิ์สยาม,7_สส_ปัจจุบัน,บุรีรัมย์,พรรคภูมิใจไทย
ชิดชอบ,ศักดิ์สยาม,8_ครม_ปัจจุบัน,บุรีรัมย์,พรรคภูมิใจไทย
ทองใจสด,อัครเดช,1_นายก/รองนายก_อดีต,เพชรบูรณ์,พรรคพลังประชารัฐ
ทองใจสด,เทียนทอง,2_สอบจ_อดีต,เพชรบูรณ์,ไม่สังกัดพรรค
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคชาติไทย
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคชาติไทย
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคชาติไทย
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคความหวังใหม่
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคไทยรักไทย
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคพลังประชาชน
ทองใจสด,เอี่ยม,3_สส_อดีต,เพชรบูรณ์,พรรคเพื่อไทย
ทองใจสด,อัครเดช,5_นายก_ปัจจุบัน,เพชรบูรณ์,พรรคพลังประชารัฐ
ทองใจสด,เทียนทอง,6_สอบจ_ปัจจุบัน,เพชรบูรณ์,ไม่สังกัดพรรค
ทองใจสด,เอี่ยม,7_สส_ปัจจุบัน,เพชรบูรณ์,พรรคพลังประชารัฐ
นาคาศัย,อนุสรณ์,1_นายก/รองนายก_อดีต,ชัยนาท,พรรคพลังประชารัฐ
นาคาศัย,อนุชา,3_สส_อดีต,ชัยนาท,พรรคไทยรักไทย
นาคาศัย,อนุชา,3_สส_อดีต,ชัยนาท,พรรคไทยรักไทย
นาคาศัย,พรทิวา,3_สส_อดีต,ชัยนาท,พรรคภูมิใจไทย
นาคาศัย,พรทิวา,3_สส_อดีต,ชัยนาท,พรรคภูมิใจไทย
นาคาศัย,พรทิวา,4_ครม_อดีต,ชัยนาท,พรรคภูมิใจไทย
นาคาศัย,อนุสรณ์,5_นายก_ปัจจุบัน,ชัยนาท,พรรคพลังประชารัฐ
นาคาศัย,อนุชา,7_สส_ปัจจุบัน,ชัยนาท,พรรคพลังประชารัฐ
นาคาศัย,อนุชา,8_ครม_ปัจจุบัน,ชัยนาท,พรรคพลังประชารัฐ
ปิตุเตชะ,ปิยะ,1_นายก/รองนายก_อดีต,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,เศรษฐา,2_สอบจ_อดีต,ระยอง,ไม่สังกัดพรรค
ปิตุเตชะ,ปิยะ,3_สส_อดีต,ระยอง,พรรคชาติพัฒนา
ปิตุเตชะ,ปิยะ,3_สส_อดีต,ระยอง,พรรคชาติพัฒนา
ปิตุเตชะ,สาธิต,3_สส_อดีต,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,ปิยะ,3_สส_อดีต,ระยอง,พรรคชาติไทย
ปิตุเตชะ,ธารา,3_สส_อดีต,ระยอง,พรรคไทยรักไทย
ปิตุเตชะ,สาธิต,3_สส_อดีต,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,ธารา,3_สส_อดีต,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,สาธิต,3_สส_อดีต,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,ธารา,3_สส_อดีต,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,ปิยะ,5_นายก_ปัจจุบัน,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,เศรษฐา,6_สอบจ_ปัจจุบัน,ระยอง,ไม่สังกัดพรรค
ปิตุเตชะ,สาธิต,7_สส_ปัจจุบัน,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,ธารา,7_สส_ปัจจุบัน,ระยอง,พรรคประชาธิปัตย์
ปิตุเตชะ,สาธิต,8_ครม_ปัจจุบัน,ระยอง,พรรคประชาธิปัตย์
พันธ์เจริญวรกุล,สมทรง,1_นายก/รองนายก_อดีต,พระนครศรีอยุธยา,พรรคภูมิใจไทย
พันธ์เจริญวรกุล,พงศ์ปณต,2_สอบจ_อดีต,พระนครศรีอยุธยา,ไม่สังกัดพรรค
พันธ์เจริญวรกุล,สุวิมล,3_สส_อดีต,พระนครศรีอยุธยา,พรรคไทยรักไทย
พันธ์เจริญวรกุล,สุวิมล,3_สส_อดีต,พระนครศรีอยุธยา,พรรคไทยรักไทย
พันธ์เจริญวรกุล,สุรศักดิ์,3_สส_อดีต,พระนครศรีอยุธยา,พรรคพลังประชาชน
พันธ์เจริญวรกุล,สุรศักดิ์,3_สส_อดีต,พระนครศรีอยุธยา,พรรคเพื่อไทย
พันธ์เจริญวรกุล,สมทรง,5_นายก_ปัจจุบัน,พระนครศรีอยุธยา,พรรคภูมิใจไทย
พันธ์เจริญวรกุล,สุรศักดิ์,7_สส_ปัจจุบัน,พระนครศรีอยุธยา,พรรคภูมิใจไทย
มะทา,มุขตาร์,1_นายก/รองนายก_อดีต,ยะลา,พรรคประชาชาติ
มะทา,วันมูหะมัดนอร์,3_สส_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,วันมูหะมัดนอร์,3_สส_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,วันมูหะมัดนอร์,3_สส_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,วันมูหะมัดนอร์,3_สส_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,ซูการ์โน,3_สส_อดีต,ยะลา,พรรคพลังประชาชน
มะทา,วันมูหะมัดนอร์,3_สส_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,วันมูหะมัดนอร์,4_ครม_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,วันมูหะมัดนอร์,4_ครม_อดีต,ยะลา,พรรคความหวังใหม่
มะทา,วันมูหะมัดนอร์,4_ครม_อดีต,ยะลา,ไม่สังกัดพรรค
มะทา,มุขตาร์,5_นายก_ปัจจุบัน,ยะลา,พรรคประชาชาติ
มะทา,ซูการ์โน,7_สส_ปัจจุบัน,ยะลา,พรรคประชาชาติ
มะทา,วันมูหะมัดนอร์,7_สส_ปัจจุบัน,ยะลา,พรรคประชาชาติ
มุ่งเจริญพร,ธัญพร,2_สอบจ_อดีต,สุรินทร์,ไม่สังกัดพรรค
มุ่งเจริญพร,ชูชัย,3_สส_อดีต,สุรินทร์,พรรคกิจสังคม
มุ่งเจริญพร,ชูชัย,3_สส_อดีต,สุรินทร์,พรรคกิจสังคม
มุ่งเจริญพร,ชูชัย,3_สส_อดีต,สุรินทร์,พรรคกิจสังคม
มุ่งเจริญพร,ชูชัย,3_สส_อดีต,สุรินทร์,พรรคไทยรักไทย
มุ่งเจริญพร,ชูชัย,3_สส_อดีต,สุรินทร์,พรรคไทยรักไทย
มุ่งเจริญพร,ปกรณ์,3_สส_อดีต,สุรินทร์,พรรคมัชฌิมาธิปไตย
มุ่งเจริญพร,ปกรณ์,3_สส_อดีต,สุรินทร์,พรรคภูมิใจไทย
มุ่งเจริญพร,ปิยะดา,3_สส_อดีต,สุรินทร์,พรรคเพื่อไทย
มุ่งเจริญพร,พรชัย,5_นายก_ปัจจุบัน,สุรินทร์,พรรคภูมิใจไทย
มุ่งเจริญพร,ภัทรชัย,6_สอบจ_ปัจจุบัน,สุรินทร์,ไม่สังกัดพรรค
มุ่งเจริญพร,ธัญพร,6_สอบจ_ปัจจุบัน,สุรินทร์,ไม่สังกัดพรรค
มุ่งเจริญพร,ปกรณ์,7_สส_ปัจจุบัน,สุรินทร์,พรรคภูมิใจไทย
วิลาวัลย์,บังอร,1_นายก/รองนายก_อดีต,ปราจีนบุรี,พรรคภูมิใจไทย
วิลาวัลย์,สุนทร,3_สส_อดีต,ปราจีนบุรี,พรรคชาติไทย
วิลาวัลย์,สุนทร,3_สส_อดีต,ปราจีนบุรี,พรรคชาติไทย
วิลาวัลย์,สุนทร,3_สส_อดีต,ปราจีนบุรี,พรรคชาติไทย
วิลาวัลย์,สุนทร,3_สส_อดีต,ปราจีนบุรี,พรรคความหวังใหม่
วิลาวัลย์,สุนทร,3_สส_อดีต,ปราจีนบุรี,พรรคไทยรักไทย
วิลาวัลย์,สุนทร,3_สส_อดีต,ปราจีนบุรี,พรรคมัชฌิมาธิปไตย
วิลาวัลย์,อำนาจ,3_สส_อดีต,ปราจีนบุรี,พรรคภูมิใจไทย
วิลาวัลย์,อำนาจ,3_สส_อดีต,ปราจีนบุรี,พรรคภูมิใจไทย
วิลาวัลย์,สุนทร,4_ครม_อดีต,ปราจีนบุรี,พรรคความหวังใหม่
วิลาวัลย์,สุนทร,5_นายก_ปัจจุบัน,ปราจีนบุรี,พรรคภูมิใจไทย
วิลาวัลย์,อำนาจ,7_สส_ปัจจุบัน,ปราจีนบุรี,พรรคภูมิใจไทย
วิลาวัลย์,กนกวรรณ,7_สส_ปัจจุบัน,ปราจีนบุรี,พรรคภูมิใจไทย
วิลาวัลย์,กนกวรรณ,8_ครม_ปัจจุบัน,ปราจีนบุรี,พรรคภูมิใจไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,ชุมพล,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,ชุมพล,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,ชุมพล,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,กัญจนา,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,ชุมพล,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,กัญจนา,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,วราวุธ,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,กัญจนา,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,วราวุธ,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,กัญจนา,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,วราวุธ,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,กัญจนา,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,ชุมพล,3_สส_อดีต,สุพรรณบุรี,พรรคชาติไทยพัฒนา
ศิลปอาชา,บรรหาร,4_ครม_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,บรรหาร,4_ครม_อดีต,สุพรรณบุรี,ไม่สังกัดพรรค
ศิลปอาชา,บรรหาร,4_ครม_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,ชุมพล,4_ครม_อดีต,สุพรรณบุรี,พรรคชาติไทย
ศิลปอาชา,กัญจนา,4_ครม_อดีต,สุพรรณบุรี,พรรคชาติไทย
